Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ro,provita de jos,45.116667,25.65,49.87,71,0,4.83
hu,bacsbokod,46.124996,19.156207000000002,59.59,70,64,8.86
us,albany,42.6525,-73.7566667,45.63,66,90,13.87
am,nor yerznka,40.3133333,44.4047222,43.12,61,20,4.7
ru,ostashkov,57.146667,33.107534,25.57,88,88,11.99
gb,crosby,53.477778,-3.0333330000000003,45.1,87,75,14.99
gl,qasigiannguit,68.8166667,-51.1833333,23,53,56,2.93
ca,midland,44.75,-79.9,34.7,47,1,14.99
fr,narbonne,43.184416999999996,3.008816,52.38,71,92,6.93
us,rockingham,34.9391667,-79.7741667,69.21,60,1,11.41
us,azle,32.895,-97.5455556,67.44,30,1,6.93
us,independence,37.224166700000005,-95.7080556,55.06,35,1,5.82
ru,andra,62.514722,65.887778,15.85,78,68,8.75
it,tezze sul brenta,45.683333000000005,11.683333,48.11,87,75,9.17
no,stanghelle,60.55,5.733333,24.76,71,36,0.58
ro,buciumi,47.033333,23.066667000000002,51.8,81,0,2.24
in,amla,21.933332999999998,78.116667,66.7,53,0,3.6
it,fucecchio,43.733333,10.8,50.07,55,75,11.41
ro,branistea,47.166667,24.066667000000002,51.8,81,0,2.24
ru,krasnousolskiy,53.8894,56.4746,11.8,75,12,7.07
gt,el palmar,14.65,-91.583333,89.6,49,40,6.93
br,campanha,-21.833333,-45.4,84.34,48,8,4.38
ph,suyo,16.9657,120.5417,64.72,100,88,1.7
ph,mapulot,14.033,122.5399,75.79,87,68,7.74
az,aran,40.625278,46.975556,53.6,62,90,23.04
cz,povrly,50.673057,14.160201999999998,46.92,49,0,9.17
pl,mragowo,53.86666700000001,21.3,32.77,94,36,7.4
tn,manzil tamim,36.782222,10.9875,67.19,77,0,5.82
ch,oberuzwil,47.430721999999996,9.124194000000001,45.19,87,92,13.87
no,tynset,62.283333,10.783333,15.8,47,0,2.24
us,east highland park,37.5808333,-77.4072222,74.3,53,90,18.34
ru,kunashak,55.7032,61.5498,21.2,48,0,13.42
gh,axim,4.8683333,-2.2413889,83.08,97,0,10.98
ru,salavat,53.38365,55.907729,5.86,73,0,5.95
us,hamilton,46.2469444,-114.15944440000001,39.97,49,92,6.4
ph,burabod,13.2686,123.4162,72.37,100,68,3.38
ch,windisch,47.476756,8.220846,42.78,81,75,12.75
ru,revyakino,54.36516700000001,37.662494,21.34,86,56,11.99
in,mangawan,24.683332999999998,81.55,70.84,47,12,2.82
ph,boton,12.9287,124.0479,78.4,100,92,13.78
ph,loacan,16.55,120.66666699999999,64.72,100,88,1.7
us,kalamazoo,42.2916667,-85.58722220000001,41.9,35,40,6.93
ir,ardistan,33.3761,52.3694,73.81,22,24,13.44
ro,albesti,46.233333,24.85,51.8,81,12,8.05
us,moraga,37.835,-122.1286111,68,59,1,6.93
us,biloxi,30.3958333,-88.8852778,70.86,49,1,6.93
ua,aleksandriya,48.669614,33.115934,41,80,90,13.42
tz,maramba,-5.05,38.6166667,67.87,90,0,2.04
it,pompei,40.75,14.5,61,59,20,4.7
gb,yeovil,50.95,-2.6333330000000004,39.18,93,75,11.41
ru,khankala,43.302121,45.755638,35.38,100,92,3.94
de,titisee-neustadt,47.9,8.166667,42.8,87,75,9.17
de,weil der stadt,48.75,8.866667,46.4,87,75,11.41
mx,singuilucan,19.966667,-98.516667,62.74,39,0,6.73
cg,matsanga,-1.9158332999999999,12.668055599999999,77.41,81,20,1.59
au,inverell,-29.774031,151.111664,52.93,89,0,2.71
cn,xinzhou,30.866667,114.8,59,82,0,8.95
mx,el naranjo,21.466667,-98.6,86.32,32,0,12.77
ad,sant julia de loria,42.466666700000005,1.5,32.86,65,8,2.59
us,altamonte springs,28.6608333,-81.36583329999999,83.79,45,20,5.82
ru,ketovo,55.355,65.32583299999999,13.15,71,0,9.98
ph,manhoy,11.3534,122.6663,71.47,98,92,3.6
pa,san vicente de bique,8.916666699999999,-79.6833333,91.53,52,40,11.41
ph,new lucena,10.8794,122.5967,71.47,96,32,3.38
in,betul bazar,21.856111,77.9275,67.06,54,0,3.71
gt,san andres,16.966667,-89.916667,87.49,55,48,4.05
pl,ryki,51.623965999999996,21.933517000000002,42.04,88,92,2.93
id,pare,-7.6823,111.8866,69.4,100,48,2.04
co,susa,5.451899,-73.814362,62.56,80,76,1.7
hu,tat,47.741478,18.648127,51.8,100,0,9.17
ca,redwater,46.9,-79.633333,32,42,75,11.41
ph,calawag,10.668169,119.57050500000001,76.24,98,0,4.61
ru,berezovka,50.6,127.86666699999999,23,41,0,4.47
us,monticello,33.6288889,-91.7908333,59.7,51,20,4.7
us,antioch,42.4772222,-88.0955556,41.58,42,1,6.93
in,handia,25.383333,82.18333299999999,75.52,38,0,8.63
co,venecia,5.962778,-75.738056,72.36,57,75,16.11
in,udaipur,23.533333,91.483333,70.3,84,0,1.92
ru,tovarkovskiy,53.682168000000004,38.209196999999996,23.5,86,88,10.98
au,yeppoon,-23.126829,150.74406399999998,77,78,90,10.29
mq,basse-pointe,14.866666699999998,-61.1166667,82.54,83,80,13.87
in,tiruvottiyur,13.157778,80.304167,84.2,83,40,6.93
ie,ballyshannon,54.5,-8.1833333,42.22,94,80,14.79
no,lindas,60.73805600000001,5.16,33.04,85,88,2.93
de,neubiberg,48.083333,11.683333,48.51,71,0,8.05
br,simao dias,-10.733333,-37.816666999999995,81.46,70,48,10.42
ph,midsayap,7.1908330000000005,124.53027800000001,76.24,81,36,2.04
ph,san sebastian,11.71,125.018056,74.44,100,44,6.62
za,paarl,-33.733781,18.975228,64.4,77,20,11.41
pt,calendario,41.403607,-8.529671,51.8,71,20,12.75
cz,velim,50.061389,15.101479000000001,47.3,65,0,8.05
br,caapora,-7.516667,-34.9,79.88,78,90,8.05
mx,ajijic,20.3,-103.283333,77,22,20,11.41
ru,iksha,56.166667000000004,37.516667,27.39,50,0,13.42
br,corumba,-19.016667,-57.65,77,94,75,3.36
br,catende,-8.666667,-35.716667,78.49,75,76,9.86
ru,purpe,64.480278,76.689722,-3.6,63,32,10.98
ru,lokot,52.565,34.5776,30.43,92,92,14.79
nl,hardenberg,52.574315000000006,6.622013000000001,49.21,66,68,12.75
ro,arad,46.183333000000005,21.316667000000002,57.87,62,0,5.82
ro,bradeni,46.083333,24.833333,51.8,81,12,8.05
us,south gate,33.9547222,-118.2111111,70.18,77,75,14.99
ba,zeljezno polje,44.408333299999995,17.9319444,60.8,48,20,2.24
id,karangampel,-6.462222,108.451944,79.66,100,68,4.27
id,mendahara,-1.033333,103.583333,73.99,96,80,1.81
us,national city,32.67805560000001,-117.0983333,71.29,77,20,10.29
cz,veseli nad moravou,48.950888,17.382144,49.98,76,75,12.75
cl,copiapo,-27.366667,-70.333333,62.6,67,40,12.75
ru,gorno-chuyskiy,57.642778,111.721944,22.51,78,92,2.59
ru,donskoye,52.6174,38.9738,24.22,88,92,11.65
co,san calixto,8.402096,-73.207374,71.65,87,80,2.71
us,scarborough,43.578055600000006,-70.32222220000001,54.64,81,90,5.82
at,baden,48.016667,16.233333,51.06,81,0,26.4
gr,nea triglia,40.3,23.2,55.4,71,0,4.7
mx,santa barbara,26.8,-105.816667,74.62,12,0,13.33
ru,peno,56.92624,32.742625,25.57,88,88,11.99
hu,kiskore,47.5,20.5,55.4,87,0,6.93
lu,schuttrange,49.6205556,6.268611099999999,41,100,75,5.82
us,palm bay,28.0341667,-80.58888890000001,82.4,42,20,11.41
us,brainerd,46.35805560000001,-94.2005556,23.9,68,90,3.36
no,ballangen,68.335278,16.821111,30.2,80,75,10.29
ro,slobozia,43.85,25.9,53.74,72,0,4.38
gr,othonoi,39.843611100000004,19.409722199999997,60.8,72,0,6.93
fi,joutseno,61.1,28.5,21.2,67,0,1.12
ru,glebychevo,60.452903000000006,28.721394,15.4,81,0,1.92
in,pulwama,33.883333,74.916667,29.44,47,0,2.59
gr,anoixis,38.1333333,23.85,55.4,71,0,3.36
gb,prestwich,53.533333,-2.2833330000000003,44.29,81,75,10.29
br,benjamin constant,-4.374444,-70.02972199999999,80.6,78,75,4.7
pl,krosno,49.688663,21.770579,48.2,76,40,8.05
ca,oliver,49.183333000000005,-119.55,59,30,40,9.17
gt,yupiltepeque,14.2,-89.783333,91.4,33,20,4.7
it,san salvo,42.05,14.733332999999998,69.8,37,40,10.29
co,cienega,5.408669000000001,-73.295722,60.76,86,64,2.37
ie,enniscorthy,52.5008333,-6.557777799999999,41.68,88,36,9.98
us,east bethel,45.319444399999995,-93.20222220000001,35.13,64,90,4.83
ro,buciumeni,45.15,25.45,46.09,82,0,2.59
jp,kariya,34.983333,136.98333300000002,44.6,70,40,6.93
gr,kavasilas,37.8666667,21.2666667,58.5,82,20,5.82
ua,dymytrove,48.607671999999994,32.983473,41,80,90,13.42
gr,epano arkhanai,35.2333333,25.1666667,59,87,20,3.36
gr,megalokhorion,39.5594444,21.8408333,49.15,59,0,1.25
ro,fundu moldovei,47.533333,25.4,40.78,95,88,3.38
us,port huron,42.970833299999995,-82.425,37.47,51,75,9.17
ru,teguldet,57.306389,88.166667,20.8,62,68,10.98
gd,sauteurs,12.2166667,-61.6333333,82.4,78,40,11.41
us,new boston,42.976111100000004,-71.6944444,53.83,87,90,13.87
tg,kpalime,6.9,0.6333333000000001,74.89,100,64,2.37
mk,bogomila,41.59305560000001,21.4716667,59,54,0,9.17
